date,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,MARCHE
2010-01-21,-0.012028352451556553,-0.010061821695829453,-0.01088658575737806,-0.014521837895749996,-0.012229590034258062,-0.017718736456601398,-0.018573950506062368,-0.009805792280211672,-0.03221656791496519,-0.02319539727815069,-0.01538381263371398,-0.015333962519137722
2010-01-22,-0.01778385720964594,-0.01971906783156774,-0.00676309786508114,-0.025946469756391588,-0.023633948368525795,-0.009781164282682164,-0.017876163685477224,-0.03869515604990884,-0.016229114088285177,-0.02500065244528626,-0.019297375366799655,-0.020555603745710496
2010-01-25,0.00616617242775905,0.0016906284890369772,0.001184509806022383,0.010762942646584306,0.0030480149838662206,0.0015778463949597539,0.0014680215600542416,0.00905666250879822,0.0054443863458248564,0.007419524936039219,0.005886729466581837,0.004145206672016075
2010-01-26,0.005955348411898618,0.003522762656878717,8.975402795640261e-05,-0.0017430447457680298,-0.015559916616182588,-0.0020247746222089753,-0.004915279782052064,-0.0033104950215924046,0.0005079964696674014,-0.006794222340525023,0.001898174234984411,-0.0036238672701515763
2010-01-27,-0.0003836683291566468,0.005645630830944148,0.0015709571870729522,-0.008498472928826646,0.021517602820695512,0.0008215400605679044,0.004140794562112345,0.010047322372828233,-0.00759882447718856,0.007685899169794785,-0.005300576957199834,0.005469684221693682
2010-01-28,0.005262727774501273,-0.008393684572534041,-0.0038280345702818345,-0.0070290056049172375,-0.010190139155780544,-0.0067492181979548335,-0.01449172904978384,-0.029266049741274034,-0.016687369617160604,-0.010212431919093386,-0.008669558379478892,-0.01174757717898711
2010-01-29,-0.006132366384284695,-0.01004312650224554,-0.004413999691534694,-0.014816533353569094,-0.007413147528196293,-0.00541119111660077,-0.010102587683725104,-0.02239463452395319,-0.0181472381982971,-0.005531280477273015,-0.0054001432191122,-0.010049292738105828
2010-02-01,0.009204687321027364,0.019520878488735793,0.007629929092004835,0.0320060831054714,0.013824987643670572,0.005069677636478014,0.017826853451143498,0.022802280641429647,0.029049389684372297,0.015984347467201405,0.007529377605152966,0.015568992385873918
2010-02-02,0.0054668395180204905,0.01624653549854881,0.012426107480744226,0.01345944481792994,0.009196538960360524,0.019426322861206203,0.013687182964603164,0.009799216925896416,0.006867748378970821,0.014010510405727681,0.008199989964454736,0.012277069736095185
2010-02-03,0.007944901144270992,-0.0074953322098746,-0.0034128738074010994,-0.008852158546047654,-0.009098947344590807,-0.00819028891633892,-0.0039117434449694915,-0.0009907153090999664,-0.009803900318559065,-0.015299503020529416,-0.006794135680848095,-0.00612712082135496
2010-02-04,-0.025104302256980755,-0.034390352463031085,-0.02483776460206599,-0.04090108940703015,-0.03277098649796848,-0.027985551930713712,-0.031569598451676006,-0.03609995347665602,-0.033588806604665136,-0.034996898430171855,-0.02656579083143765,-0.03170479318727179
2010-02-05,0.00393699659960736,-0.0032964920112648287,0.0020732135835821257,-0.004449164405830149,0.00632085058279645,0.0014415472395957773,-0.0026105647467286404,0.010024547696959485,0.007314601113916499,0.010158127368880903,-0.0019185483866816185,0.002841884443585933
2010-02-08,-0.00559875470498538,0.006114138703221669,-0.005083365835957992,-0.009504910715240667,-0.013655796199966375,-0.0032911617232229923,-0.006964590086152864,-0.00289535847359119,-0.009737529147315944,-0.01580757041476301,-0.009932049189964624,-0.006621937714895768
2010-02-09,0.006970599851446337,0.01287546354030683,0.012897390060242138,0.021282323190147747,0.009388523053741028,0.009204829121692706,0.021347386303670043,0.01347094711912158,0.01670884504364337,0.00024042586634900025,0.009567880247815668,0.012465319594684738
