award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
FA881018C0006,NORTHROP GRUMMAN SYSTEMS CORPORATION,3443980501.13,2018-06-25,Department of Defense,Department of the Air Force,,,CA,NEXT GENERATION OVERHEAD PERSISTENT INFRARED POLAR SPACE VEHICLES 1 AND 2 STUDY.
F4060003C0001,AEROSPACE TESTING ALLIANCE,3442296591.23,2003-07-08,Department of Defense,Department of the Air Force,,,TN,200310!000044!5700!GY04  !AEDC/PKM OPER CONTRACT DIVISION !F4060003C0001  !A!N! !Y!                   !20030708!20040930!114717346!114717346!114717346!N!AEROSPACE TESTING ALLIANCE    !600 WILLIAM NORT
N0001922C0004,SIKORSKY AIRCRAFT CORPORATION,3423079306.96,2021-12-06,Department of Defense,Department of the Navy,,,CT,CH-53K FRP LOT 7 LONG LEAD ITEMS
N0002402C2303,BATH IRON WORKS CORPORATION,3405711408.0,2002-08-01,Department of Defense,Department of the Navy,,,ME,200212!025207!1700!BZ002 !NAVAL SEA SYSTEMS COMMAND       !N0002402C2303  !A!N! !N!                   !20020801!20080426!045953718!045953718!001381284!N!BATH IRON WORKS CORPORATION   !700 WASHINGTON S
FA283424CB002,"SIERRA NEVADA COMPANY, LLC",3397359664.05,2024-04-26,Department of Defense,Department of the Air Force,,,CO,SURVIVABLE AIRBORNE OPERATIONS CENTER (SAOC)
FA881008C0002,LOCKHEED MARTIN CORP,3394759309.77,2008-03-14,Department of Defense,Department of the Air Force,,,CA,GEO-3 AND HEO-3 LONG LEAD
N0002419C2114,"BECHTEL PLANT MACHINERY, INC.",3376284837.0,2018-11-30,Department of Defense,Department of the Navy,,,PA,NAVAL REACTORS
N0002418C2301,LOCKHEED MARTIN CORPORATION,3358164279.83,2018-03-02,Department of Defense,Department of the Navy,,,MD,MMSC DETAILED DESIGN AND CONSTRUCTION
N0002413C2307,HUNTINGTON INGALLS INCORPORATED,3345822881.0,2013-06-03,Department of Defense,Department of the Navy,,,MS,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.
N0002416C2427,HUNTINGTON INGALLS INCORPORATED,3319287897.4,2016-06-30,Department of Defense,Department of the Navy,,,MS,"DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR LHA 8 (INITIAL EFFORT LIMITED TO PLANNING, ADVANCED ENGINEERING AND PROCUREMENT OF LONG LEAD TIME MATERIAL)"
NNM16AA02C,"AEROJET ROCKETDYNE OF DE, INC",3310306487.49,2015-11-19,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,"IGF::CT::IGF  RS-25 PRODUCTION RESTART TO BE UNDERTAKEN BY THE CONTRACTOR IN SUPPORT OF PROVIDING SIX RS-25 ENGINES MODIFIED AS NECESSARY FOR THE TECHNICAL REQUIREMENTS UNDER THE SPACE LAUNCH SYSTEM, "
N0002406C2303,BATH IRON WORKS CORPORATION,3309817048.63,2006-08-08,Department of Defense,Department of the Navy,,,ME,DDG 1000 DETAIL DESIGN
HQ085124C0001,RAYTHEON COMPANY,3298946355.0,2024-07-25,Department of Defense,Defense Contract Management Agency,,,AZ,FY 23-25 SM-3 BLOCK IIA AURS
W58RGZ06C0194,AIRBUS US SPACE & DEFENSE INC,3288408589.48,2006-06-30,Department of Defense,Defense Contract Management Agency,,,VA,LIGHT UTILITY HELICOPTER
36C10G20K0022,TRIWEST HEALTHCARE ALLIANCE CORP,3276610906.36,2020-09-30,Department of Veterans Affairs,Department of Veterans Affairs,,,AZ,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT
AIDGPOI030500032,PARTNERSHIP FOR SUPPLY CHAIN MANAGEMENT INC,3272781796.99,2009-06-04,Agency for International Development,Agency for International Development,,,VA,THIS IS A NEW TASK ORDER (# 03) ISSUED AGAINST THE BASIC IQC # GPO-I-00-05-00032-00. THE PURPOSE OF THIS TASK ORDER IS TO FACILITATE CONTINUATION OF THE SCMS PROGRAM IN ALL PEPFAR COUNTRIES.
N0002422C5500,RAYTHEON COMPANY,3265755418.12,2022-03-31,Department of Defense,Department of the Navy,,,MA,AN/SPY-6(V) HARDWARE PRODUCTION
N0001908C0023,NORTHROP GRUMMAN SYSTEMS CORPORATION,3229122597.17,2008-04-22,Department of Defense,Department of the Navy,,,NY,TAS::17 1319::TAS SYSTEM DEVELOPMENT AND DEMONSTRATION
W31P4Q18C0130,LOCKHEED MARTIN CORPORATION,3158372223.06,2018-09-29,Department of Defense,Department of the Army,,,FL,HELLFIRE BUY 17 PRODUCTION.
N0002420C2437,HUNTINGTON INGALLS INCORPORATED,3155693794.0,2020-04-30,Department of Defense,Department of the Navy,,,MS,LHA 9 ADVANCE PROCUREMENT
N0001914C0032,THE BOEING COMPANY,3154449062.9,2014-06-30,Department of Defense,Department of the Navy,,,MO,EA-18 G AIRCRAFT
FA820523F0501,LOCKHEED MARTIN CORPORATION,3150012905.32,2022-12-21,Department of Defense,Department of the Air Force,,,TX,COMPREHENSIVE F-22 AIR VEHICLE SUSTAINMENT SERVICES.
N0002413C2128,ELECTRIC BOAT CORPORATION,3145999614.0,2012-12-21,Department of Defense,Department of the Navy,,,CT,SUBMARINE RDT&E
FA880810C0001,THE BOEING COMPANY,3127786036.39,2010-08-19,Department of Defense,Department of the Air Force,,,CA,WGS BLOCK II FOLLOW ON
DEAC0506OR23177,"JEFFERSON SCIENCE ASSOCIATES, LLC",3122899691.31,2006-04-14,Department of Energy,Department of Energy,,,VA,TAS::89 0222::TAS MANAGEMENT AND OPERATION OF THE THOMAS JEFFERSON NATIONAL ACCELERATOR FACILITY.
HQ027610C0001,LOCKHEED MARTIN CORPORATION,3095877436.03,2009-10-21,Department of Defense,Missile Defense Agency,,,NJ,AEGIS BMD INTERNATIONAL SUPPORT
36C10G21K0089,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",3088852520.23,2021-09-30,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,CCN REGION THREE FY21 EXPRESS REPORT
NSFDACS1219442,"LEIDOS, INC.",3088721029.93,2011-12-23,National Science Foundation,National Science Foundation,,,,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM
DESC0014664,"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",3083020287.15,2016-03-10,Department of Energy,Department of Energy,,,TN,IGF::OT::IGF MANAGEMENT OF THE OAK RIDGE INSTITUTE FOR SCIENCE AND EDUCATION
N0001903C0057,NORTHROP GRUMMAN SYSTEMS CORPORATION,3076522196.73,2003-08-04,Department of Defense,Defense Contract Management Agency,,,FL,
N6274223F4007,DRAGADOS/HAWAIIAN DREDGING/ORION JV,3071962135.15,2023-03-10,Department of Defense,Department of the Navy,,,HI,"FY23 MCON PROJECT P-209, DRY DOCK 3 REPLACEMENT, JOINT BASE PEARL HARBOR HICKAM, HAWAII"
W31P4Q18C0049,LOCKHEED MARTIN CORPORATION,3058790659.63,2018-04-27,Department of Defense,Department of the Army,,,TX,GUIDED MULTIPLE LAUNCH ROCKET SYSTEMS (GMLRS) FULL RATE PRODUCTION (FRP) LOT 13.
80MSFC20C0034,SPACE EXPLORATION TECHNOLOGIES CORP.,3047851482.99,2020-05-13,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,"WORK REQUIRED FOR THE DESIGN, DEVELOPMENT, MANUFACTURE, TEST, LAUNCH, DEMONSTRATION, AND ENGINEERING SUPPORT OF THE HUMAN LANDING SYSTEM (HLS) INTEGRATED LANDER."
N0002417C2105,HUNTINGTON INGALLS INC,3038709104.53,2017-09-01,Department of Defense,Department of the Navy,,,VA,FY17 RCOH ACCOMPLISHMENT
NNK17MA01T,SPACE EXPLORATION TECHNOLOGIES CORP.,3029850123.69,2016-12-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,FL,"IGF::OT::IGF THE COMMERCIAL CREW PROGRAM (CCP) COMMERCIAL CREW TRANSPORTATION CAPABILITY (CCTCAP) CONTRACT WILL PROVIDE COMPLETION OF THE DESIGN, DEVELOPMENT, TEST, EVALUATION, AND CERTIFICATION OF AN"
N0001914C0050,SIKORSKY AIRCRAFT CORPORATION,3010046248.88,2014-05-07,Department of Defense,Department of the Navy,,,CT,IGF::OT::IGF PRESIDENTIAL HELICOPTER REPLACEMENT PROGRAM (VXX) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) PHASE OF THE PROGRAM. THE CONTRACT ALSO INCLUDES NOT-TO-EXCEED OPTION PRICES FOR LOW RATE
N0002419C2115,"BECHTEL PLANT MACHINERY, INC.",3004573964.0,2018-11-30,Department of Defense,Department of the Navy,,,PA,S1B
N0002498C2107,HUNTINGTON INGALLS INC,3003693920.0,1998-02-06,Department of Defense,Department of the Navy,,,VA,199806!1700!2211!BZ002!NAVAL SEA SYSTEMS COMMAND       !N0002498C2107  !A!*!*                  !19980206!20030930!001307495!149899957!149899957!N!43689!NEWPORT NEWS SHIPBUILDING AND !4101 WASHINGTON A
N0002416C2431,HUNTINGTON INGALLS INCORPORATED,2997306665.94,2015-12-04,Department of Defense,Department of the Navy,,,MS,LPD 28 LONG LEAD TIME MATERIAL
0002,RAYTHEON COMPANY,2986266447.12,2008-12-17,Department of Defense,Department of the Army,,,MA,PREDOMINANT - PATRIOT UAE
N0002424C2115,"BECHTEL PLANT MACHINERY, INC.",2975601797.0,2023-12-21,Department of Defense,Department of the Navy,,,PA,S1B
80NM0018F0615,CALIFORNIA INSTITUTE OF TECHNOLOGY,2967633551.98,2018-07-24,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,"EUROPA CLIPPER PROJECT  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION NASA AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY-CONTRACTOR, A PRIVATE NONPROF"
AIDOAATO1500009,"CHEMONICS INTERNATIONAL, INC.",2925878093.79,2015-04-17,Agency for International Development,Agency for International Development,,,DC,IGF::CL::IGF - GHSC IDIQ - MALARIA TASK ORDER
36C10G21K0090,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",2907879002.34,2021-09-30,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: FY21
N0002420C2300,MARINETTE MARINE CORPORATION,2887401821.0,2020-04-30,Department of Defense,Department of the Navy,,,WI,DETAIL DESIGN AND CONSTRUCTION OF FFG(X) GUIDED MISSILE FRIGATE
FA861512C6016,LOCKHEED MARTIN CORPORATION,2881255653.08,2012-09-28,Department of Defense,Department of the Air Force,,,TX,TAIWAN F-16 A/B BLOCK 20 RETROFIT PROGRAM
N0003024C0100,LOCKHEED MARTIN CORPORATION,2876623988.0,2024-09-12,Department of Defense,Department of the Navy,,,FL,FY25 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT
W56HZV17C0001,BAE SYSTEMS LAND & ARMAMENTS L.P.,2875232202.19,2017-03-31,Department of Defense,Department of the Army,,,PA,LETTER CONTRACT FOR EARLY PROCUREMENT MATERIAL TO SUPPORT THE M109A7/M992A3 VEHICLE PRODUCTION.
N0001907C0097,LOCKHEED MARTIN CORPORATION,2870976998.8,2007-07-27,Department of Defense,Defense Contract Management Agency,,,TX,JSF LRIP LOT II - AAC
MSFC0199911DNAS800016,LOCKHEED MARTIN CORP,2870112487.23,2000-10-27,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,LA,PRODUCTION AND O&M FOR 35 EXTERNAL TANKS
W31P4Q17C0006,LOCKHEED MARTIN CORPORATION,2853603995.4,2016-12-22,Department of Defense,Department of the Army,,,TX,"FY17 PATRIOT ADVANCED CAPABILITIES (PAC-3) MSE MISSILES, CRI MISSILES AND INITIAL SPARES"
70B01C26F00000017,FISHER SAND & GRAVEL CO,2832999611.7,2025-12-17,Department of Homeland Security,U.S. Customs and Border Protection,,,AZ,CONSTRUCT VERTICAL BORDER BARRIER
DEEM0001971,NUCLEAR WASTE PARTNERSHIP LLC,2823678826.78,2012-04-19,Department of Energy,Department of Energy,,,NM,IGF::OT::IGF THE MAJOR PURPOSE OF THIS CONTRACT IS TO OPERATE AND MAINTAIN THE WASTE ISOLATION PILOT PLANT (WIPP) AND TO IMPLEMENT THE DOE'S NATIONAL TRANSURANIC WASTE PROGRAM (NTP). THE OVERALL MISSI
N0002417C2301,"AUSTAL USA, LLC",2809728836.4,2017-06-23,Department of Defense,Department of the Navy,,,AL,CONSTRUCTION OF LCS FLIGHT 0+ SHIP
FA850512C0001,THE BOEING COMPANY,2806532949.46,2012-06-22,Department of Defense,Department of the Air Force,,,TX,IGF::OT::IGF F-15S/SA CONVERSION
N0001923C0030,RTX CORPORATION,2802401490.66,2023-09-28,Department of Defense,Department of the Navy,,,CT,LOT 18 PNR/TOOLING
W31P4Q24F0165,LOCKHEED MARTIN CORPORATION,2801151369.39,2024-07-01,Department of Defense,Department of the Army,,,TX,GUIDED MULTIPLE LAUNCH ROCKET SYSTEM (GMLRS) AND LOW COST REDUCED RANGE PRACTICE ROCKET (LCRRPR) FY25 FULL RATE PRODUCTION LOT 20 DELIVERY ORDER
75FCMC22C0038,"MAXIMUS FEDERAL SERVICES, INC.",2779736793.0,2022-08-31,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,,VA,CONTACT CENTER OPERATIONS
HQ027615C0003,RAYTHEON COMPANY,2760634389.93,2015-07-22,Department of Defense,Missile Defense Agency,,,AZ,SM-3 BLK IIA RDT&E GUIDED MISSILE ROUNDS
36C10G21K0088,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",2747128192.23,2021-09-30,Department of Veterans Affairs,Department of Veterans Affairs,,,MD,EXPRESS REPORT FOR FY 21 REGION 1
N0001924C0025,THE BOEING COMPANY,2739718834.0,2024-02-29,Department of Defense,Defense Contract Management Agency,,,WA,CANADA AND GERMANY LOT 13 P-8A AIRCRAFT
HQ086220C0002,RAYTHEON COMPANY,2738715982.65,2020-06-26,Department of Defense,Missile Defense Agency,,,MA,KSA FMS ARMY NAVY TRANSPORTABLE RADAR SURVEILLANCE AND CONTROL MODEL 2 (AN/TPY-2) PRODUCTION
FA873023C0025,THE BOEING COMPANY,2733467927.0,2023-02-28,Department of Defense,Department of the Air Force,,,WA,E-7A RAPID PROTOTYPING
